"ExpName"	"Trial"	"Stay"	"PrReward"	"PrTransition"	"RT1"	"RT2"	"level1_choice"	"level2_choice"	"reward"	"transition"	"Time"	"subjID"
"InstructionMarkovVideoG"	15	1	-1	-1	0.365185	0.55158	1	4	0	0	1	35
"InstructionMarkovVideoG"	17	1	1	1	0.445515	1.82869	1	1	1	1	1	35
"InstructionMarkovVideoG"	20	0	1	1	0.460875	0.85141	2	4	0	1	1	35
"InstructionMarkovVideoG"	22	1	1	-1	0.667975	0.947535	2	4	1	1	1	35
"InstructionMarkovVideoG"	23	1	1	1	1.578325	1.547875	2	3	1	1	1	35
"InstructionMarkovVideoG"	25	1	-1	-1	1.04976	1.447095	2	4	1	1	1	35
"InstructionMarkovVideoG"	27	1	1	-1	1.13755	1.268845	2	3	0	1	1	35
"InstructionMarkovVideoG"	28	1	-1	1	0.40098	1.257635	2	1	1	0	1	35
"InstructionMarkovVideoG"	30	1	1	1	0.91849	1.67481	2	4	0	1	1	35
"InstructionMarkovVideoG"	31	1	-1	1	1.4388	1.286465	2	4	0	1	1	35
"InstructionMarkovVideoG"	32	1	-1	1	0.53005	1.83781	2	2	1	0	1	35
"InstructionMarkovVideoG"	33	1	1	-1	0.523115	0.75137	2	4	1	1	1	35
"InstructionMarkovVideoG"	34	1	1	1	0.983675	1.20116	2	1	1	0	1	35
"InstructionMarkovVideoG"	35	1	1	-1	0.45602	1.20635	2	3	1	1	1	35
"InstructionMarkovVideoG"	36	1	1	1	0.61295	1.709305	2	1	0	0	1	35
"InstructionMarkovVideoG"	37	1	-1	-1	0.408455	1.07298	2	4	0	1	1	35
"InstructionMarkovVideoG"	39	1	-1	1	0.410955	0.67509	2	4	0	1	1	35
"InstructionMarkovVideoG"	40	1	-1	1	0.486685	0.548155	2	4	0	1	1	35
"InstructionMarkovVideoG"	41	1	-1	1	0.333725	0.767855	2	4	1	1	1	35
"InstructionMarkovVideoG"	42	1	1	1	0.616775	1.68057	2	4	1	1	1	35
"InstructionMarkovVideoG"	43	1	1	1	0.97892	1.45289	2	3	0	1	1	35
"InstructionMarkovVideoG"	44	1	-1	1	0.4672	1.583615	2	1	1	0	1	35
"InstructionMarkovVideoG"	45	1	1	-1	0.52723	0.682965	2	4	0	1	1	35
"InstructionMarkovVideoG"	46	1	-1	1	0.42224	0.606425	2	3	1	1	1	35
"InstructionMarkovVideoG"	47	1	1	1	0.588535	0.71819	2	3	0	1	1	35
"InstructionMarkovVideoG"	48	1	-1	1	0.39209	0.99277	2	2	0	0	1	35
"InstructionMarkovVideoG"	49	1	-1	-1	0.38444	1.347405	2	3	1	1	1	35
"InstructionMarkovVideoG"	51	1	1	-1	0.37425	1.04803	2	4	1	1	1	35
"InstructionMarkovVideoG"	52	1	1	1	0.42871	1.381385	2	3	0	1	1	35
"InstructionMarkovVideoG"	53	1	-1	1	0.41992	1.06833	2	4	1	1	1	35
"InstructionMarkovVideoG"	55	1	-1	1	0.410425	0.875145	2	4	1	1	1	35
"InstructionMarkovVideoG"	56	1	1	1	0.40699	1.17535	2	4	1	1	1	35
"InstructionMarkovVideoG"	57	1	1	1	0.6793	1.301175	2	3	1	1	1	35
"InstructionMarkovVideoG"	60	1	-1	-1	0.71675	0.480805	1	4	1	0	1	35
"InstructionMarkovVideoG"	61	1	1	-1	0.507195	0.89748	1	4	0	0	1	35
"InstructionMarkovVideoG"	63	1	1	1	0.46236	1.389	1	4	1	0	1	35
"InstructionMarkovVideoG"	64	1	1	-1	0.572915	1.486575	1	3	1	0	1	35
"InstructionMarkovVideoG"	67	1	-1	1	0.37361	0.66397	1	1	1	1	1	35
"InstructionMarkovVideoG"	68	1	1	1	0.42747	0.594915	1	1	0	1	1	35
"InstructionMarkovVideoG"	69	1	-1	1	0.434905	0.530305	1	2	1	1	1	35
"InstructionMarkovVideoG"	70	1	1	1	0.37072	1.524585	1	4	0	0	1	35
"InstructionMarkovVideoG"	71	1	-1	-1	0.3585	0.768645	1	1	0	1	1	35
"InstructionMarkovVideoG"	72	1	-1	1	0.64106	1.192355	1	4	1	0	1	35
"InstructionMarkovVideoG"	73	1	1	-1	0.51173	1.219335	1	1	1	1	1	35
"InstructionMarkovVideoG"	74	1	1	1	0.57812	0.827875	1	2	0	1	1	35
"InstructionMarkovVideoG"	75	1	-1	1	0.34593	0.48539	1	1	1	1	1	35
"InstructionMarkovVideoG"	76	1	1	1	0.57619	0.89845	1	1	1	1	1	35
"InstructionMarkovVideoG"	77	1	1	1	0.484775	0.434035	1	2	1	1	1	35
"InstructionMarkovVideoG"	78	1	1	1	0.559005	1.289645	1	4	0	0	1	35
"InstructionMarkovVideoG"	79	1	-1	-1	0.381115	0.902965	1	1	1	1	1	35
"InstructionMarkovVideoG"	81	1	-1	1	0.380885	0.670825	1	1	1	1	1	35
"InstructionMarkovVideoG"	82	1	1	1	0.41082	0.851195	1	4	1	0	1	35
"InstructionMarkovVideoG"	83	1	1	-1	0.575935	0.96201	1	4	1	0	1	35
"InstructionMarkovVideoG"	84	1	1	-1	0.4742	1.40827	1	3	0	0	1	35
"InstructionMarkovVideoG"	85	1	-1	-1	0.302825	0.635255	1	1	1	1	1	35
"InstructionMarkovVideoG"	86	1	1	1	0.3606	0.827645	1	1	1	1	1	35
"InstructionMarkovVideoG"	87	1	1	1	0.40893	1.8974	1	3	1	0	1	35
"InstructionMarkovVideoG"	88	1	1	-1	0.500395	1.81692	1	3	0	0	1	35
"InstructionMarkovVideoG"	89	1	-1	-1	1.031235	1.23914	1	2	1	1	1	35
"InstructionMarkovVideoG"	90	1	1	1	0.436485	0.82785	1	2	0	1	1	35
"InstructionMarkovVideoG"	91	1	-1	1	0.40173	1.114045	1	4	0	0	1	35
"InstructionMarkovVideoG"	92	1	-1	-1	0.34002	0.583265	1	1	0	1	1	35
"InstructionMarkovVideoG"	93	1	-1	1	0.66244	0.83703	1	4	0	0	1	35
"InstructionMarkovVideoG"	94	1	-1	-1	0.32225	0.45408	1	3	0	0	1	35
"InstructionMarkovVideoG"	95	1	-1	-1	0.51461	0.815075	1	4	1	0	1	35
"InstructionMarkovVideoG"	96	1	1	-1	0.389215	0.37402	1	2	1	1	1	35
"InstructionMarkovVideoG"	97	1	1	1	0.43773	0.637165	1	1	0	1	1	35
"InstructionMarkovVideoG"	98	1	-1	1	0.688355	0.48753	1	1	1	1	1	35
"InstructionMarkovVideoG"	99	1	1	1	0.466925	0.41701	1	1	0	1	1	35
"InstructionMarkovVideoG"	100	1	-1	1	0.366925	0.680645	1	4	0	0	1	35
"InstructionMarkovVideoG"	102	1	-1	1	0.872745	1.134465	1	3	0	0	1	35
"InstructionMarkovVideoG"	103	1	-1	-1	0.39177	0.50496	1	1	1	1	1	35
"InstructionMarkovVideoG"	104	1	1	1	0.363295	1.789855	1	3	0	0	1	35
"InstructionMarkovVideoG"	105	1	-1	-1	0.4372	0.404775	1	1	0	1	1	35
"InstructionMarkovVideoG"	106	1	-1	1	0.379055	1.917155	1	2	1	1	1	35
"InstructionMarkovVideoG"	107	1	1	1	0.695165	0.57239	1	4	0	0	1	35
"InstructionMarkovVideoG"	108	1	-1	-1	0.36411	1.182485	1	4	1	0	1	35
"InstructionMarkovVideoG"	110	1	-1	1	0.33895	1.26371	1	4	1	0	1	35
"InstructionMarkovVideoG"	111	1	1	-1	0.43434	1.225465	1	3	0	0	1	35
"InstructionMarkovVideoG"	112	1	-1	-1	1.231535	1.103325	1	1	1	1	1	35
"InstructionMarkovVideoG"	113	1	1	1	1.30614	0.67118	1	1	1	1	1	35
"InstructionMarkovVideoG"	114	0	1	1	1.466495	0.880935	2	4	0	1	1	35
"InstructionMarkovVideoG"	115	1	-1	1	0.388955	1.669625	2	1	0	0	1	35
"InstructionMarkovVideoG"	116	1	-1	-1	0.681815	0.62365	2	4	1	1	1	35
"InstructionMarkovVideoG"	118	1	-1	1	0.356595	0.4474	1	2	0	1	1	35
"InstructionMarkovVideoG"	119	1	-1	1	0.395375	1.19716	1	4	1	0	1	35
"InstructionMarkovVideoG"	120	1	1	-1	0.43499	1.217945	1	1	1	1	1	35
"InstructionMarkovVideoG"	124	1	-1	1	0.32795	1.31597	1	4	1	0	1	35
"InstructionMarkovVideoG"	125	1	1	-1	0.429965	0.83784	1	1	1	1	1	35
"InstructionMarkovVideoG"	126	0	1	1	0.47532	1.01693	2	4	1	1	1	35
"InstructionMarkovVideoG"	127	0	1	1	0.73492	1.634155	1	2	1	1	1	35
"InstructionMarkovVideoG"	128	0	1	1	0.41698	0.70345	2	3	1	1	1	35
"InstructionMarkovVideoG"	129	0	1	1	0.69815	1.48061	1	1	1	1	1	35
"InstructionMarkovVideoG"	132	0	1	1	0.385585	0.93911	1	1	1	1	1	35
"InstructionMarkovVideoG"	133	0	1	1	0.37192	1.678065	2	4	0	1	1	35
"InstructionMarkovVideoG"	134	0	-1	1	0.81054	1.97071	1	2	1	1	1	35
"InstructionMarkovVideoG"	135	0	1	1	0.387005	0.75643	2	4	0	1	1	35
"InstructionMarkovVideoG"	137	1	-1	-1	0.643495	1.650895	1	2	1	1	1	35
"InstructionMarkovVideoG"	138	0	1	1	0.99148	0.84057	2	4	0	1	1	35
"InstructionMarkovVideoG"	139	0	-1	1	0.62206	0.950205	1	4	0	0	1	35
"InstructionMarkovVideoG"	140	1	-1	-1	0.37459	1.33653	1	1	1	1	1	35
"InstructionMarkovVideoG"	145	1	1	-1	0.557425	1.624345	2	3	0	1	1	35
"InstructionMarkovVideoG"	146	1	-1	1	0.76695	0.41617	2	4	0	1	1	35
"InstructionMarkovVideoG"	147	1	-1	1	0.342215	0.409365	2	4	0	1	1	35
