InstrVideoKR.keys,InstrVideoKR.rt,CravingKR.keys,CravingKR.corr,CravingKR.rt,ResistKR.keys,ResistKR.corr,ResistKR.rt,StressKR.keys,StressKR.corr,StressKR.rt,VideoGLoop.thisRepN,VideoGLoop.thisTrialN,VideoGLoop.thisN,VideoGLoop.thisIndex,VideoGLoop.ran,Video,email,date,expName,psychopyVersion,OS,frameRate,VraieTacheKR.keys,VraieTacheKR.rt,Choice1.keys,Choice1.rt,Transition,Choice2.keys,Choice2.rt,Reward,Task2.thisRepN,Task2.thisTrialN,Task2.thisN,Task2.thisIndex,Task2.ran,Ntrial,Walk21,PChoice21,Walk22,PChoice22,Walk23,PChoice23,Walk24,PChoice24,FinTache1KR.keys,FinTache1KR.rt,FinTache2KR.keys,FinTache2KR.rt
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.38492,0,e,0.38477,0,0,36,36,64,1,65,0,0.55,-0.02,0.55,-0.01,0.51,0.05,0.49,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.317345,1,i,0.349905,1,0,37,37,96,1,97,0.03,0.66,0.04,0.56,-0.04,0.31,0.01,0.56,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.450655,0,i,0.60033,0,0,38,38,127,1,128,-0.01,0.66,-0.01,0.71,0.01,0.42,-0.03,0.31,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.41643,0,i,0.53271,1,0,39,39,2,1,3,0.05,0.6,0.03,0.51,0.01,0.53,0.01,0.53,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.707375,0,i,0.56577,0,0,40,40,156,1,157,0.01,0.58,0,0.72,0,0.5,-0.01,0.27,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.384725,0,i,0.3351,1,0,41,41,152,1,153,-0.01,0.62,0.02,0.7,0.03,0.52,0.01,0.27,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.48466,0,e,0.33634,1,0,42,42,36,1,37,0,0.68,0.04,0.62,-0.03,0.57,0.01,0.74,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.369135,0,i,0.56831,1,0,43,43,82,1,83,0.02,0.69,-0.01,0.5,0.03,0.37,0,0.49,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.38357,1,e,0.3677,1,0,44,44,42,1,43,-0.01,0.71,-0.03,0.61,-0.02,0.57,0.05,0.69,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.201155,0,e,0.401325,1,0,45,45,122,1,123,0.04,0.73,0.02,0.71,0,0.4,0.01,0.32,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.352865,1,e,0.368275,0,0,46,46,39,1,40,0,0.7,-0.02,0.6,0,0.61,0,0.73,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.35125,1,i,0.38107,0,0,47,47,183,1,184,0,0.45,0,0.7,-0.02,0.34,-0.03,0.25,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.385085,0,i,0.31645,0,0,48,48,144,1,145,-0.01,0.65,0,0.74,-0.01,0.6,0,0.27,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.80128,0,e,0.316115,1,0,49,49,141,1,142,0,0.7,0.04,0.74,0.06,0.58,-0.01,0.25,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.351475,1,e,0.365805,1,0,50,50,30,1,31,0.02,0.73,0,0.62,-0.03,0.61,-0.01,0.69,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.617625,1,e,0.250995,1,0,51,51,139,1,140,0.03,0.7,-0.02,0.72,0.01,0.5,-0.02,0.27,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.4882,0,i,0.317035,0,0,52,52,101,1,102,-0.01,0.68,0.04,0.61,-0.01,0.37,0.02,0.46,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.33443,1,i,0.317775,0,0,53,53,173,1,174,-0.02,0.49,0,0.73,-0.01,0.42,-0.02,0.29,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.304545,1,e,0.30069,0,0,54,54,104,1,105,0,0.65,0.01,0.71,0.07,0.42,-0.03,0.4,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.31792,0,i,0.3503,0,0,55,55,180,1,181,-0.01,0.4,0.04,0.69,-0.02,0.4,0,0.27,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.317975,0,e,0.24985,0,0,56,56,59,1,60,0.01,0.61,0,0.55,-0.03,0.51,0,0.49,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.31727,1,i,0.32931,1,0,57,57,121,1,122,-0.02,0.69,0,0.69,0.01,0.4,0.03,0.31,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.38365,1,i,0.2501,0,0,58,58,11,1,12,-0.02,0.64,0.01,0.66,0.01,0.62,0.05,0.72,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.77165,1,e,0.268215,1,0,59,59,109,1,110,0.03,0.68,-0.02,0.65,0,0.35,-0.01,0.42,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.384365,1,e,0.283785,1,0,60,60,95,1,96,0.03,0.63,-0.02,0.52,-0.01,0.27,0.05,0.55,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.36796,0,i,0.20057,0,0,61,61,91,1,92,0,0.65,-0.02,0.54,-0.03,0.29,0.03,0.56,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.24909,1,e,0.319445,1,0,62,62,166,1,167,0.01,0.59,-0.01,0.68,0,0.47,-0.04,0.3,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.581095,0,i,0.300015,1,0,63,63,69,1,70,0.04,0.66,0.01,0.51,-0.03,0.52,0.02,0.46,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.317315,0,i,0.38395,0,0,64,64,90,1,91,0,0.65,0,0.56,-0.03,0.32,0.04,0.53,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.36783,1,e,0.266875,0,0,65,65,85,1,86,-0.01,0.73,0,0.49,0.01,0.35,0,0.46,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.36855,1,i,0.35109,0,0,66,66,71,1,72,0.05,0.74,0.01,0.53,0,0.51,-0.02,0.47,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.335715,1,e,0.31568,1,0,67,67,196,1,197,0.04,0.43,0.02,0.72,0.05,0.31,-0.01,0.26,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.367595,1,e,0.30099,0,0,68,68,147,1,148,0.03,0.59,-0.01,0.71,-0.02,0.56,0.01,0.31,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.268765,0,i,0.33236,1,0,69,69,103,1,104,-0.01,0.65,0.04,0.7,-0.02,0.35,-0.05,0.43,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.285565,0,i,0.383705,1,0,70,70,131,1,132,0.01,0.73,-0.01,0.72,0,0.39,0.02,0.29,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.33423,1,e,0.317935,1,0,71,71,106,1,107,-0.01,0.64,-0.02,0.71,0,0.39,-0.02,0.41,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.334665,1,e,0.28283,0,0,72,72,145,1,146,-0.04,0.61,0.01,0.75,0,0.6,0.03,0.3,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.03526,1,e,0.35029,1,0,73,73,35,1,36,-0.05,0.68,-0.03,0.58,0,0.6,0.01,0.73,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.368775,0,e,0.267335,1,0,74,74,107,1,108,-0.01,0.63,-0.04,0.67,-0.03,0.36,0,0.41,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.31677,1,i,0.284345,1,0,75,75,184,1,185,0,0.45,0,0.7,-0.02,0.32,0.01,0.26,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.250865,1,e,0.24965,1,0,76,76,60,1,61,-0.03,0.58,0.02,0.57,0.02,0.53,0.02,0.51,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.353645,1,e,0.266105,0,0,77,77,168,1,169,0.03,0.6,-0.01,0.63,0,0.44,-0.01,0.29,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.31792,1,i,0.229905,0,0,78,78,12,1,13,0.04,0.68,0,0.66,0.01,0.63,-0.03,0.69,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.368115,1,e,0.24729,0,0,79,79,123,1,124,-0.02,0.71,0.04,0.75,0,0.4,0.01,0.33,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.183745,1,i,0.06765,0,0,80,80,65,1,66,0.02,0.57,0.02,0.57,0.01,0.52,0,0.49,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.338935,1,e,0.266865,1,0,81,81,157,1,158,0.02,0.6,0.03,0.75,0.04,0.54,0.02,0.29,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.301105,1,e,0.284025,1,0,82,82,70,1,71,0.03,0.69,0.01,0.52,-0.01,0.51,0.03,0.49,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.31854,1,e,0.26329,0,0,83,83,130,1,131,0.05,0.72,0.03,0.73,0,0.39,0,0.27,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.379395,1,i,0.249055,1,0,84,84,54,1,55,0.02,0.62,-0.03,0.61,0.03,0.57,-0.02,0.58,,,,
